Virksomhet
3b-fibreglass norway3b-fibreglass norway
7 steel nordic (tidl. celsa armeringsstål)7 steel nordic (tidl. celsa armeringsstål)
A. johansen asA. johansen as
Addcon nordicAddcon nordic
Adesso bioproductsAdesso bioproducts
Af offshore decom miljøbase vatsAf offshore decom miljøbase vats
"Aker solutions as, lokasjon stord (demolering)Aker solutions as, lokasjon stord (demolering)"
Alcoa listaAlcoa lista
Alcoa norway as mosjøenAlcoa norway as mosjøen
Alfaset krematoriumAlfaset krematorium
Algea asAlgea as
Algea as - tangforedlingsfabrikkAlgea as - tangforedlingsfabrikk
Allnex norway asAllnex norway as
Alloc asAlloc as
Allum elgbaneAllum elgbane
Alsvåg lakseslakteriAlsvåg lakseslakteri
Alta lufthavnAlta lufthavn
Aludyne norwayAludyne norway
Alvdal skurlagAlvdal skurlag
Amalie skram  videregående skole og helleren svømmehallAmalie skram  videregående skole og helleren svømmehall
Amsrud pukkverk maskinserviceAmsrud pukkverk maskinservice
Andenes fiskemottak asAndenes fiskemottak as
Andsvatn reinslakteri susAndsvatn reinslakteri sus
Andøya flystasjonAndøya flystasjon
Andøya space defenceAndøya space defence
Angråmyra riflebaneAngråmyra riflebane
Anlegg for forbrenningsforsøk ved råde mølleAnlegg for forbrenningsforsøk ved råde mølle
Anlegg for mottak og behandling av asfalt og betong i klæbuAnlegg for mottak og behandling av asfalt og betong i klæbu
Anleggsvirksomhet tunnelarbeider soknedalAnleggsvirksomhet tunnelarbeider soknedal
Arba one as på matrand i eidskog kommuneArba one as på matrand i eidskog kommune
Arbor as avd hattfjelldalArbor as avd hattfjelldal
Arcos as havarivernsenterArcos as havarivernsenter
Arctic autorent - bilvaskehallen (tidl. svalbard motor)Arctic autorent - bilvaskehallen (tidl. svalbard motor)
Arctic husky travellersArctic husky travellers
Arendal lufthavn gullknappArendal lufthavn gullknapp
Arendals bryggeri asArendals bryggeri as
Arnøy laks slakteriArnøy laks slakteri
Art nor potetindustriArt nor potetindustri
As gleaAs glea
Asfalt sør as - asfaltverk opofteAsfalt sør as - asfaltverk opofte
Asfaltfabrikken as amsrudAsfaltfabrikken as amsrud
Asfaltverk - veidekke industri avd. bardufossAsfaltverk - veidekke industri avd. bardufoss
Asfaltverk ottersboAsfaltverk ottersbo
Asfaltverk sandbumoen otta - stian brendenAsfaltverk sandbumoen otta - stian brenden
Asfaltverk skattøra tromsøAsfaltverk skattøra tromsø
Asfaltverk søra kalbergAsfaltverk søra kalberg
"Asfaltverk, harstadAsfaltverk, harstad"
Aunsjøen pukkverkAunsjøen pukkverk
Austevoll vassverkAustevoll vassverk
Automester svalbardAutomester svalbard
Avinor as avd ørsta/volda lufthavnAvinor as avd ørsta/volda lufthavn
Avinor as avd. svalbard lufthavn longyear - tanklagringAvinor as avd. svalbard lufthavn longyear - tanklagring
"Avinor as, avd førde lufthamn, bringelandAvinor as, avd førde lufthamn, bringeland"
"Avinor as, avd. florø lufthamnAvinor as, avd. florø lufthamn"
"Avinor as, avd. sandane lufthamnAvinor as, avd. sandane lufthamn"
"Avinor as, avd. sogndal lufthamnAvinor as, avd. sogndal lufthamn"
Avinor avd. kristiansand lufthavn kjevikAvinor avd. kristiansand lufthavn kjevik
Avinor avd. oslo lufthavn gardermoenAvinor avd. oslo lufthavn gardermoen
