Row Labels,Count of Column3
Standal Knuseverk AS,1
Tvedalen Vest Steinindustriområde,1
Stangeland Maskin Nordre Kalberg,1
Tydal Motorsportklubb,1
Sørreisa Kommune Brannøvingsfelt Øyjordnes,1
Tysværvåg Vassverk,1
Statens Vegvesen Sør-trøndelag,1
Ullensvang Riflebane,1
Statkraft Tofte,1
Umoe Mandal AS,1
Statnett Reservekraftanlegg Nyhamna,1
Unger Fabrikker AS,1
Stavanger Krematorium,1
Utlsipp Av Gråvann,1
Stavanger Lufthavn,1
Utslipp Av Overvann Fra Oljeutskiller Til Havnebasseng,1
Steen-hansen AS,1
Utslipp Driftsvann Butunnelen,1
Steinkjer Asfaltverk På Lerkehaug,1
Utslipp Fra Rehabilitering Og Vask Av Frøyatunnelen,1
Steinkjer Krematorium,1
Utslipp Fra Tunnelarbeider Og Vask Til Berfjorden,1
Steinkjer Pukkverk På Lerkehaug,1
Utslipp Fra Tunneldriving Og Vaskevann Kvithammer-åsen,1
Stella Polaris,1
Utslipp Fra Vaskevann I Driftsfase,1
Stemmedalen Vasslag,1
Utslipp Fra Veganlegg Hellfjord-sumstad,1
Rudskogen Motorsenter,1
Utslipp Tunneldriving Og Vaskevann Fv 714,1
Stena Recycling Decom AS,1
Utslippspunkt For Spylevann Fra Drikkevannsledning,1
Steni AS,1
Vålerengtunnelen,1
Stenqvist,1
Vafos Pulp,1
Stensaas Reinsdyrslakteri AS,1
Vaksdal Vassverk,1
Stian Brenden,1
Vardø Lufthavn,1
Stokmarknes Lufthavn Skagen,1
Varpet Riflebaner,1
Storbjørkåsen Grustak,1
Vasøya,1
Stord Lufthamn,1
Vasstranda Vannbehandlingsanlegg,1
Store Norske Gruve 7 Adventdalen,1
Salsus AS,1
Storvask,1
Veistein AS,1
Strand Unikorn AS,1
Velde Betong,1
Strandebarm Vassbehandlingsanlegg,1
Velde Miljø,1
Stureterminalen,1
Velde Pukk,1
Sum Hesjedalen,1
Verdalskalk,1
Svalbard Bryggeri,1
Vest-agder-museet IKS,1
Svalbard Energi Longyearbyen Energiverk,1
Vestfold Trafo Energi AS,1
Svalbard Husky,1
Vestkorn Milling,1
Svalbard Lufthavn AS,1
Vevjeåsen Nord Steinbrudd,1
Svarvamoen Skytebane,1
Sandmoen Brannøvingsfelt,1
Svene Pukkverk,1
Viking Fjord Fiskeforedling,1
Svindland,1
Vikomar AS,1
Svolvær Lufthavn Helle,1
Vipo,1
Zymtech Life Science AS,1
Vistin Pharma,1
Rosholt Vannbehandlingsanlegg,1
Vital Seafood AS,1
Synnøve Finden Alvdal,1
Vow Green Metals Follum,1
Synnøve Finden Hardanger,1
Waagård Skytebaner,1
Synnøve Finden Namsos,1
Washington Mills,1
T Holand Maskin,1
Weber Leca Trondheim,1
Tåsentunnelen,1
Wergeland-halsvik,1
Tafjord Kraftvarme,1
Yara International Porsgrunn,1
Talgø Møre Tre AS,1
Ytre Nordmøre Slakteri,1
Tangenvika Jernbanebru,1
Zinken AS,1
Tank Og Trailervask AS,1
Sandvikodden Tankanlegg,1
Tankanlegg Longyearbyen,1
Sydvaranger,1
O. Espedal Handelsegartneri,1
Røra Fabrikker,1
Pelagia Egersund Seafood,1
Mellomlagring Asfalt,1
Rekefjord Stone,1
Mellomlagring Av Masser,1
Megårdskolltunnelen,1
Melsgjerdet Brannøvingsfelt,1
Plasman AS,1
Meråker Kjøtt AS,1
Ragasco,1
Metallco Aluminium AS,1
Ringnes Bryggeri,1
Metallco Nmf AS,1
Ole Ringdal AS,1
Metallco Oppland AS,1
Ottersbo,1
Metallco Stene Fredrikstad,1
Pelagia Protein,1
Mettevolltunnelen-drift,1
Psw Group AS,1
Mibau Stema,1
Røst Lufthavn,1
Microbeads AS,1
Raufoss Næringspark ANS,1
Midlertidig Unntak Fra Forurensingsforskriftens § 26-4,1
Resitec,1
Midt-norge Slakteri AS,1
Nye Veier AS,1
Miljøbriketter AS,1
Odda Riflebaner,1
Miljøteknikk Terrateam,1
Oppdal Riflebaner,1
Mandal Castings AS,1
Oshaug Metall AS,1
Mjølfjell Og Brandset Skyte- Og Øvingsfelt,1
Mehamn Lufthavn,1
Mm Follacell,1
Pelagia Liavåg,1
Mo I Rana Lufthavn Fagerlia,1
Peterson Energi,1
Mo I Rana Lufthavn Røssvoll,1
Prima Seafood,1
Mo Industripark AS,1
Mekvik Maskin AS,1
Moelven Østerdalsbruket,1
Røros Tweed AS,1
Moelven Pellets,1
Røyskår,1
Moelven Sør-tre AS,1
Rana Industripark,1
Moelven Soknabruket,1
Reetec Demonstrasjonsanlegg,1
Moelven Trysil AS,1
Renseanlegg Lindelitunnelen,1
Moelven Van Severen AS,1
Rewaste AS,1
Moi Kjøtt,1
Risavika Production AS,1
Molde Brann Og Redning,1
Nyhamna Prosessanlegg,1
Molde Lufthavn,1
Odal Grus AS,1
