Row Labels,Count of Column3
Budal Riflebaner,1
Bangsund Riflebaner,1
Busskulvert,1
Bardufoss Flystasjon,1
Carboline Norge AS,1
Basf AS,1
Ccb AS,1
Bassebo Steinbrudd,1
Chemring Nobel AS,1
Be Varme,1
Circle K Norge AS,1
Behandling Av Farlig Avfall,1
Coca-cola Robsrud,1
Behandling Metall Og Ee-avfall,1
Curida AS,1
Bekkestutunnelen,1
Dalir Kjøtt AS,1
Bensvik Fiskekjøp ANS,1
Daltveit Vassbehandlingsanlegg,1
Benteler Automotive Raufoss,1
Damsgårdtunnelen Tunnelvaksevann Puddefjorden,1
Beredskapskjel,1
Dc Seljestokken Aggregates AS,1
Berendsen Tekstil Service AS,1
Denofa,1
Berendsen Tekstilservice,1
Distrikt 37,1
Berg Lipidtech AS,1
Doneheia/jåbekk Industriområde,1
Bergåstunnelen E6,1
Drammen Krematorium,1
Bergan Steinbrudd,1
Drevjamoen Skyte- Og Øvingsfelt,1
Bergen Eloksal AS,1
Driftsfase,1
Bergen Engines Foundry,1
Dullum Slakteri AS,1
Bergen Lufthavn Flesland,1
Dynea Lillestrøm,1
Ørland,1
E. C. Dahls Bryggeri,1
Bergmesteren Raudsand AS,1
E16 Bagnskleivtunnelen,1
Berika AS,1
E16 Hugaviktunnelen,1
Berivest AS,1
E18 Lysaker Til Ramstadsletta,1
Berlevåg Lufthavn,1
E6 Skarpsnotunnelen,1
Betker AS,1
Edelgard AS,1
Beyonder,1
Eide Brandasund AS,1
Bia Miljø AS,1
Eikås Motorsenter,1
Bim Norway AS,1
Einar Øgrey Industrisand AS,1
Bio3 AS,1
Ekeberg Tank,1
Ørland Brannøvingsfelt,1
Elkem Bjølvefossen,1
Biomega Norway AS,1
Elkem Carbon,1
Biosirk AS,1
Elkem Salten,1
Ørland Flystasjon,1
Øyane Asvo AS,1
Bir Ressurs AS,1
Ellingsen Seafood AS,1
Bjørkedalen Riflebaner,1
Engebø Rutile And Garnet,1
Bjørnøya,1
Åfjord,1
Bjørndalen Pukkverk AS,1
Esso Norge,1
Bjørnegårdtunnelen,1
Etnedal Riflebane,1
Bjarkøy Pukkverk Yit,1
Everzinc Norway,1
Bjelland,1
Førde Vassverk,1
Blikshavn Riflebaner,1
Falken Riflebaner,1
Blindevannverket,1
Fatland Jæren,1
Blomjoten Masseuttak-harstad Maskin,1
Felleskjøpet Agri Fabrikk Nedre Ila Trondheim,1
Finny Sirevaag AS,1
Felleskjøpet Modum,1
Firmenich Bjørge Biomarin AS,1
Felleskjøpet Stange 4500 Fabrikk,1
Fiskå Mølle,1
Ferroglobe Mangan Norge,1
Fiven Norge,1
Festningstunnelen,1
Fjellhaller Risavika,1
Fibo AS,1
Fjordlaks AS,1
Filefjelltunnelen V/tyinkrysset,1
Florø Brannvesen,1
Finnfjord,1
Follebu Bruk AS,1
Ålesund Lufthavn,1
Forbrenningsdel,1
First Seafood AS,1
Bodø Lufthavn,1
Fiskå Mølle Flisa AS,1
Boliden Odda,1
Fjell Skytebane,1
Bonden Grønthandel,1
Fjordkjøkken,1
Bonnåtunellen,1
Flakstadvåg Laks AS,1
Borregaard,1
Fluorsid Noralf AS,1
Borstrandi Riflebaner,1
Follum Forbrenningsanlegg,1
Botnhågen Avfallsforbrenningsanlegg,1
3b-Fibreglass Norway,1
Bottum Grustak,1
Grand Total,1223
