nace_code,nace_description,name,org_number,employees,location,municipality,postal_place,registration_date,organizational_form,website
24.1,Manufacture of basic iron and steel,INEOS TYSSEDAL AS,934505557,233,TYSSEDAL,ULLENSVANG,TYSSEDAL,1995-02-19,Aksjeselskap,
24.1,Manufacture of basic iron and steel,FINNFJORD AS,934039254,177,FINNSNES,SENJA,FINNSNES,1995-02-19,Aksjeselskap,
24.42,Aluminium production,HYDRO ALUMINIUM AS,917537534,3944,OSLO,OSLO,OSLO,1995-03-12,Aksjeselskap,www.hydro.com
24.42,Aluminium production,ALCOA NORWAY AS,928825345,1251,MOSJØEN,VEFSN,MOSJØEN,2022-02-25,Aksjeselskap,
24.42,Aluminium production,SPEIRA AS,975934578,754,HOLMESTRAND,HOLMESTRAND,HOLMESTRAND,1995-12-11,Aksjeselskap,www.speira.com/nb/
24.42,Aluminium production,BENTELER AUTOMOTIVE RAUFOSS AS,994344552,481,RAUFOSS,VESTRE TOTEN,RAUFOSS,2009-07-28,Aksjeselskap,
24.42,Aluminium production,Norsk Hydro ASA,914778271,403,OSLO,OSLO,OSLO,1995-02-19,Allmennaksjeselskap,www.hydro.com
24.45,Other non-ferrous metal production,GLENCORE NIKKELVERK AS,911575787,580,KRISTIANSAND S,KRISTIANSAND,KRISTIANSAND S,1995-03-12,Aksjeselskap,www.nikkelverk.no
24.45,Other non-ferrous metal production,INEOS TYSSEDAL AS,934505557,233,TYSSEDAL,ULLENSVANG,TYSSEDAL,1995-02-19,Aksjeselskap,
24.45,Other non-ferrous metal production,REETEC AS,928177165,15,OSLO,OSLO,OSLO,2021-11-20,Aksjeselskap,
24.45,Other non-ferrous metal production,INEOS ENTERPRISES NORWAY HOLDINGS AS,931480855,,TYSSEDAL,ULLENSVANG,TYSSEDAL,2023-06-01,Aksjeselskap,
24.45,Other non-ferrous metal production,WEGLOSTAL SP Z O O NUF,993440744,,DRAMMEN,DRAMMEN,DRAMMEN,2009-01-19,Norskregistrert utenlandsk foretak,
24.51,Casting of iron,BERGEN ENGINES AS,997016238,685,HORDVIK,BERGEN,HORDVIK,2011-06-09,Aksjeselskap,
24.51,Casting of iron,ULEFOS AS,981083032,226,ULEFOSS,NOME,ULEFOSS,1999-09-24,Aksjeselskap,
24.51,Casting of iron,FURNES JERNSTØPERI AS,979459548,150,STANGE,STANGE,STANGE,1997-12-18,Aksjeselskap,www.furnes-hamjern.no
24.51,Casting of iron,MANDAL CASTINGS AS,980458881,40,MANDAL,LINDESNES,MANDAL,1999-02-22,Aksjeselskap,
24.51,Casting of iron,HOBØL ASVO AS,965070206,9,HOBØL,INDRE ØSTFOLD,HOBØL,1995-02-20,Aksjeselskap,
24.52,Casting of steel,FRANK SMED AS,886386052,8,OPPDAL,OPPDAL,OPPDAL,2004-01-08,Aksjeselskap,www.franksmed.no
24.52,Casting of steel,EUROMET AS,920014372,,MO I RANA,RANA,MO I RANA,2017-12-04,Aksjeselskap,
24.52,Casting of steel,ELART METALL AS,913569016,,VIKERSUND,MODUM,VIKERSUND,1995-02-19,Aksjeselskap,
24.52,Casting of steel,STAVANGER STEEL AS,917466564,,JØRPELAND,STRAND,JØRPELAND,2016-07-13,Aksjeselskap,
24.52,Casting of steel,RUSTFRITT AS,924420383,,TORP,FREDRIKSTAD,TORP,2020-01-16,Aksjeselskap,
24.53,Casting of light metals,ØSTLANDSKE LETTMETALL AS,928738302,38,ELVERUM,ELVERUM,ELVERUM,1995-02-19,Aksjeselskap,lettmetall.no
24.53,Casting of light metals,SKARPENORD CORROSION AS,936011667,8,TORP,FREDRIKSTAD,TORP,1995-02-19,Aksjeselskap,
24.53,Casting of light metals,ROLVSØY METALLINDUSTRI AS,981465415,5,RÅDE,RÅDE,RÅDE,2000-01-19,Aksjeselskap,
24.53,Casting of light metals,BEME CORROSION INTERNATIONAL AS,923767479,,OS,BJØRNAFJORDEN,OS,2019-11-05,Aksjeselskap,
24.53,Casting of light metals,A M ANDERSEN METALLSTØPERI Helge Andersen,977537037,,KRAGERØ,KRAGERØ,KRAGERØ,1997-05-16,Enkeltpersonforetak,
24.54,Casting of other non-ferrous metals,OSHAUG METALL AS,982392098,46,MOLDE,MOLDE,MOLDE,2000-09-21,Aksjeselskap,
24.54,Casting of other non-ferrous metals,OLAUSSENS METALL AS,890660452,22,KARMSUND,KARMØY,KARMSUND,2007-01-03,Aksjeselskap,www.olaussensmetall.no
